,Topic,Count,Name
0,-1,1848,-1_data_model_learning_method
1,3,441,3_language_models_model_data
2,6,282,6_solar_stars_star_stellar
3,5,272,5_thermal_magnetic_optical_electronic
4,14,269,14_prove_spaces_algebra_groups
5,11,194,11_images_segmentation_detection_features
6,9,137,9_learning_training_neural_data
7,1,115,1_channel_wireless_communication_signal
8,2,85,2_security_attacks_iot_attack
9,7,85,7_algorithm_optimization_algorithms_sparse
10,0,84,0_quantum_entanglement_channels_theory
11,4,84,4_graph_graphs_vertices_vertex
12,8,76,8_distribution_estimator_estimation_estimators
13,12,73,12_flow_turbulence_pressure_fluid
14,10,69,10_robot_robots_motion_robotic
15,13,65,13_equations_equation_differential_solution
